mem_id,trans_id,similar_trans,desc,date_diff,date_var,amt,cat,discret,sub,label
1.00E+15,1.00E+16,1.00E+16,detailspaymenttohootsuitecb,12.86,NA,0,Credit Card Payments,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396523813100|10008396561372900|10008396595640600,ackerman,4.29,0.08,0,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396723201700|10008396746716400|10008396746713700,eonmobilnewtonhighlamacard,1.62,7.86,0.07,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,labrasaplantation,0.29,NA,0,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,yardhouseaddisont,15.57,NA,1.96,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396712580100|10008396712580000|10008396712580000|10008396712578900|10008396712578900|10008396713776200|10008396720007800|10008396732586000|10008396734827500|10008396736388000|10008396736388000|10008396739705100|10008396746571500|10008396754652700|10008396754652700|10008396759116100|10008396782643100|10008396786442400|10008396786442400|10008396786442400|10008396788025900|10008396789462400|10008396794403100|10008396838244800|10008396838244800|10008396840349200|10008396840349800|10008396840349200|10008396840349200|10008396844385800|10008396844385800|10008396842013500|10008396844385800|10008396849695800|10008396854192000|10008396858539500|10008396896101400|10008396896101500|10008396896101300|10008396906084800|10008396906084800|10008396906084800|10008396906084800|10008396906084800|10008396906084800|10008396906084800|10008396910027300|10008396910027300|10008396910027300|10008396915400900,deposittransferfrom,0.35,0.46,774.84,Deposits,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004273114700|10000004273165400|10000004273669000,recurringpaymentauthorizedonubercascard,0.9,0.76,5.73,Travel,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812385374700|10002812389853700|10002812394958500,preauthorizeddepositfromcitibanknacheckingaccount,1,0,0,Deposits,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396744644600|10008396744644600|10008396815827500|10008396815827500|10008396854519700|10008396854519700,riamoneytransfercusttransppdid,2.17,6.31,241.35,Transfers,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,rochestervaleraddisontownsmi,11.71,NA,0.04,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812256948300|10002812262141600|10002812261218400,wwwalcatrazislandticktx,0,0,0,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396789659500|10008396837702600|10008396894379700,checkcardpurchasegettyimageswa,4.33,0.09,0.26,Checks,FALSE,TRUE,1
9.71E+17,4.87E+18,4866331834834580000|4866331835004460000|4866331835199120000|4866331835404380000,draftwithdrawalachaawwebbankcardpayment,3.5,2.51,0.04,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812391900500|10002812409801700|10002812431996500,pospurchappriverparaflappriverparaus,4.29,0.06,2.56,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+18,1000137223194960000|1000137223194960000|1000137223341620000,checkcardautoquestinternationahoustont,0.52,0.25,70.78,Uncategorized,FALSE,TRUE,0
1.00E+15,1.00E+16,10008396745242600|10008396789335200,purchaseauthorizedonwalmartsupercentereastlampeterpapcard,2,4.94,10.72,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004273449900|10000004273542600|10000004273595300,poseleven,0.19,0.01,0.25,Groceries,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004270135900|10000004271509600|10000004272910400|10000004274122500,detpubtvdptvachppdidd,4.29,0.1,0,Uncategorized,FALSE,FALSE,0
9.71E+17,4.87E+18,4866331834955780000|4866331835128650000|4866331835311850000|4866331835488280000,draftwithdrawalachawebpaypalecheck,4.14,0.08,55.98,ATM/Cash Withdrawals,FALSE,FALSE,0
1.61E+18,-4.92E+18,-4.92E+18,acctcnfrmbankofamericaposachcredit,0,NA,0.06,Other Income,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,shelloldsaybrookct,0.57,NA,0.21,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396701816400|10008396741924700|10008396793727600|10008396844047000|10008396901322400,customerwithdrawalimage,3.4,2.6,81.07,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,eastwashingtonoctopumadisonwi,0,NA,2.49,Uncategorized,FALSE,FALSE,0
9.71E+17,4.87E+18,4.87E+18,draftwithdrawalstatefarmilustrace,7.71,NA,0.01,Insurance,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396525611700|10008396543970100,paypalsavvyauthorcausa,4.5,8.58,99.66,Other Expenses,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,walmartmeridianidusa,4,NA,92.64,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,capitaloneautopaypymtauthdatemar,4.43,NA,0,Credit Card Payments,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,fromsharerefrsclpmortgage,0,NA,0,Mortgages,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812359285300|10002812365458800|10002812366863800|10002812367210400,subwayharlingencarddebitcardpurchase,0.61,0.45,1.46,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10012356547324600|10012356604052700,autoglasscentertusa,4.36,15.52,239.44,Automotive Expenses,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396740258500|10008396801253600|10008396820113000|10008396854291100,thorntonsqnapervilleil,3,1.99,3.97,Gifts,FALSE,FALSE,0
9.71E+17,4.87E+18,4866331835010010000|4866331835191100000|4866331835380400000,hattorihanzoshearsca,4.29,0.08,0,Uncategorized,FALSE,FALSE,0
1.61E+18,-4.92E+18,-4.92E+18,maribelmelendi,4.43,NA,0,Uncategorized,FALSE,FALSE,1
1.00E+15,1.00E+16,10000004269543100|10000004270860600|10000004272487000|10000004272355000|10000004272487000|10000004273542600,fidelityfprsdanielobrien,2.86,4.96,0,Uncategorized,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,anglanglsantamonicmenswomensclothng,6.29,NA,2.76,Clothing/Shoes,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,postransactionpccnaturalmarketswaus,0,NA,0,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396712580000|10008396825388200|10008396849695800|10008396906084800,creditamazoncomrefundamazoncomseattlewaus,3.96,18.67,53.19,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396784479800|10008396903969700|10008396906650900,purchaseauthorizedonmcdonaldsfrustburgvascard,3.76,25.64,0.13,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396771881100|10008396829066700,experianfreecredrca,4.21,0.09,0,Online Services,FALSE,FALSE,1
