mem_id,trans_id,similar_trans,desc,date_diff,date_var,amount,category,discretionary,sub,label
1.00028121168714E15,1.00028122291504E16,10002812241091000|10002812256691400|10002812270569200,amazondigitalsvcswa,4.24,0.09,0.0,Entertainment,FALSE,TRUE,1
1.00000041154258E15,1.00000042679715E16,10000004272486900|10000004271361700|10000004272486900|10000004271361700|10000004271834200|10000004272486800,purchaseauthorizedonshellservicestationpleasantoncapcard,2.02,17.42,12.91,Gasoline/Fuel,FALSE,FALSE,0
1.00028121165718E15,1.00028123552149E16,10002812360968900|10002812374994900|10002812379361200|10002812393497700|10002812398596300|10002812412386300|10002812419062900|10002812433324800|10002812439711900,electronicwithdrawalstlouisbank,2.05,0.83,201.02,'ATM/Cash Withdrawals',FALSE,FALSE,0
1.00000041154258E15,1.00000042678698E16,10000004267869800|10000004267869800|10000004269945200,purchaseauthorizedonblackhawkgrilledanvillecascard,2.24,15.03,86.38,Restaurants/Dining,FALSE,FALSE,0
1.00000041154258E15,1.00000042680373E16,10000004268950200|10000004270219900|10000004270308800|10000004271361700|10000004272910400|10000004273204600,etradebanktransfercloutier,2.69,2.84,1.47,Transfers,FALSE,FALSE,0
1.00000041154258E15,1.00000042679713E16,10000004270927300|10000004272499800,burlngtonstoresmadisonwi,6.79,11.11,8.94,Clothing/Shoes,FALSE,FALSE,0
1.0008396146072E15,1.00083967606257E16,10008396760922900|10008396857592600|10008396856956700|10008396883127300|10008396883654400|10008396920047400,preauthorizationtargetpending,2.19,9.82,27.78,'General Merchandise',FALSE,FALSE,0
1.0008396146072E15,1.00083967232014E16,1.00083967232009E16,refgsiltoraydarreshare,0,NA,0.0,Uncategorized,FALSE,FALSE,0
1.00028121168714E15,1.0002812257162E16,1.00028122576029E16,itunescombillituncupertinomhgsdnhitunesstoreappst,0.14,NA,15.22,Entertainment,FALSE,FALSE,0
1.00083961538707E15,1.00083964814099E16,10008396502455500|10008396551914700|10008396566996400,banfieldaurora,3.67,5.27,42.52,'Pets/Pet Care',FALSE,FALSE,0
1.00083961538707E15,1.00083966900571E16,10008396712364600|10008396733500600|10008396760475200|10008396784151600|10008396809367200|10008396833967500|10008396856498600|10008396882657900|10008396907596200,payroll,2,0.0,15.25,Paychecks/Salary,FALSE,FALSE,1
1.00028121148802E15,1.00028122135284E16,10002812220213900|10002812234237700|10002812234805600|10002812236232000|10002812254834800,libertyburgerdallas,2.63,6.17,0.25,Restaurants/Dining,FALSE,FALSE,0
1.00083961289649E15,1.00083965356747E16,10008396535674700|10008396535674700|10008396536395200|10008396536395200|10008396547762000|10008396547760500|10008396554833400|10008396570136900|10008396570136900|10008396587106300|10008396587106300|10008396587106300|10008396589974400|10008396597281000|10008396597281000|10008396600458000|10008396600458000|10008396602905000|10008396602905000,cmsvendcvlancasterlancasterpausa,0.45,0.44,0.26,Uncategorized,FALSE,FALSE,0
1.0008396146072E15,1.00083967810404E16,10008396782140600|10008396781040400|10008396782140600|10008396787062400|10008396788592200,preauthorizationnewslinkpending,0.09,0.04,2.67,Hobbies,FALSE,FALSE,0
1.00028121143316E15,1.00028123900334E16,10002812390033400|10002812390033400|10002812390033400,debitpurchasefebchaturbillcom,0.05,0.01,6.13,'Online Services',FALSE,FALSE,0
1.00000041154258E15,1.00000042734583E16,1.00000042740379E16,billpaymentwithdrawallmcuvanpayment,4.29,NA,0.0,'Other Bills',FALSE,FALSE,0
1.00083962107834E15,1.0008396579146E16,1.00083965812905E16,itunescombillituncupertinomgtkqqitunesstoreappst,0.29,NA,77.08,Entertainment,FALSE,FALSE,0
9.71000522012272E17,-8.7367388532522404E18,-8736738853236760000|-8736738853215620000,pandaepresslynwoodfastfoodrestaurant,3.5,0.5,3.59,Restaurants/Dining,FALSE,FALSE,0
1.00000041154258E15,1.0000004269126E16,1.00000042704051E16,msufederalcreditunionmibillpayment,4,NA,0.0,'Other Bills',FALSE,FALSE,0
1.00083961178575E15,1.00083965224801E16,10008396584000400|10008396598162800|10008396606333500|10008396606332100,ugatatecenterdeckathensga,2.54,10.97,0.84,Education,FALSE,FALSE,0
1.00083961179494E15,1.00083968570111E16,1.00083968562678E16,onlinebankingtransferconfjybwjfvsandra,0,NA,0.0,Transfers,FALSE,FALSE,0
1.00028121161812E15,1.00028123628164E16,10002812392575400|10002812417028800|10002812431722800,onlinepymtmerrickbankcorinternetpayment,4.95,2.97,61.58,'Online Services',FALSE,FALSE,1
1.00000041154258E15,1.00000042680909E16,1.00000042680909E16,purchaseauthorizedonwatercoursewaypaloaltocascard,0,NA,120.09,'General Merchandise',FALSE,FALSE,0
1.00000041154258E15,1.0000004268348E16,10000004269752400|10000004270219800|10000004271193900|10000004271554700|10000004272572000|10000004272910400|10000004273753500|10000004273984800,attuversepppdidm,2.25,1.59,50.21,'Telephone Services',FALSE,FALSE,1
1.00083961716152E15,1.00083967132685E16,10008396751194900|10008396768314400|10008396822212000|10008396877420400|10008396928152400,genbankcardsvcdescheckbyphnidindncoid,3.57,2.03,62.49,Uncategorized,FALSE,FALSE,0
1.00028121168714E15,1.00028122490941E16,1.00028122562074E16,einsteinbrosbagelslakeforestfastfoodrestaurant,2,NA,0.72,Restaurants/Dining,FALSE,FALSE,0
1.00028121148802E15,1.00028122367781E16,10002812256463800|10002812260026000|10002812263673500,citydogclubdalladdison,2.62,7.86,15.15,Hobbies,FALSE,FALSE,0
1.00083962001092E15,1.00083964769521E16,10008396511684300|10008396543017900|10008396580118900,purchaseinterestcharge,4.29,0.06,23.9,Interest,FALSE,FALSE,0
1.00000041154258E15,1.00000042681381E16,10000004268757000|10000004269385900|10000004269988800|10000004270667000|10000004271361600|10000004271998400|10000004272721000|10000004273245800|10000004273785900,evangelicalhomedirectdepppdid,2,0.0,0.06,'Charitable Giving',FALSE,FALSE,1
1.00083961716152E15,1.00083967003911E16,10008396711521300|10008396722999600|10008396722999600|10008396730340900|10008396732462900|10008396745752300|10008396757867500|10008396768313400|10008396770731500|10008396782353700|10008396796894000|10008396809052900|10008396820873100|10008396831307700|10008396839165000|10008396855346600|10008396867779900|10008396882204300|10008396893859000|10008396906647300|10008396919826100|10008396928152400,firstprogresscardbillpayment,0.86,0.09,220.94,'Other Bills',FALSE,FALSE,0
1.0008396146072E15,1.00083964690839E16,1.00083965056043E16,smsiriusmcomaccttbdemsatelite,4.43,NA,0.0,'Online Services',FALSE,FALSE,1
1.61100052201728E18,-2.3367388531970898E18,-2336738853197090000|-2336738853194010000,sunbizorgflfilinfl,0.36,0.26,0.29,'Online Services',FALSE,FALSE,0
1.00000041154258E15,1.00000042693379E16,10000004270618500|10000004272133100|10000004273401100,usdepartmentofpbaiherschel,4.24,0.05,0.0,Uncategorized,FALSE,FALSE,0
1.00013724209738E15,1.0001372354302E17,100013723598442000|100013723576142000|100013723577551000|100013723605141000|100013723583324000|100013723610421000|100013723572587000|100013723574716000|100013723589122000|100013723614334000,doubledavespizzahoustont,0,0.0,0.0,Restaurants/Dining,FALSE,FALSE,0
1.00000041154258E15,1.00000042726017E16,10000004272601400|10000004272601700|10000004272601400,overdraftfeeforatransactionpostedoncheck,0,0.0,0.0,'Service Charges/Fees',FALSE,FALSE,0
1.00000041154258E15,1.00000042691517E16,10000004270044400|10000004271509900|10000004273311700,capitaloneonlinepmtccdid,4.33,1.66,34.37,'Credit Card Payments',FALSE,FALSE,1
1.00083964088409E15,1.00083967229018E16,1.00083967801099E16,jaysdonutsdallast,4.57,NA,0.36,Restaurants/Dining,FALSE,FALSE,0
1.61100052201728E18,-2.3367388532210299E18,-2.3367388531963197E18,latefeeforpaymentdue,4.29,NA,0.0,'Service Charges/Fees',FALSE,FALSE,0
1.00028121148802E15,1.00028123559965E16,1.00028123559965E16,pospurchtopgolfdallasttopgolfdallasus,0,NA,0.0,Entertainment,FALSE,FALSE,0
1.00000041154258E15,1.00000042683012E16,10000004268387800|10000004269287200|10000004270503000|10000004270503000|10000004270860400|10000004271015700|10000004272938300|10000004273330400|10000004273449900|10000004274122300,atmwithdrawalslap,1.84,3.54,39.9,'ATM/Cash Withdrawals',FALSE,FALSE,0
1.00000041154258E15,1.00000042734583E16,10000004273458300|10000004273629800,billpaymentwithdrawalattcellphone,2.29,0.16,1.54,'Other Bills',FALSE,FALSE,1
1.00083962585554E15,1.00083967214333E16,1.00083967214333E16,deltaairdeltacomca,0,NA,449.47,Travel,FALSE,FALSE,0
1.00083963105897E15,1.00083967348275E16,10008396734827500|10008396734827500|10008396734827500|10008396786442400|10008396786442400|10008396840349200|10008396896101500|10008396896101400,creditdividend,1.59,4.82,1.15,'Investment Income',FALSE,FALSE,0
1.00083961289649E15,1.00083968376521E16,1.00083969113076E16,purchaseauthorizedongoodvillenotaryllancasterpascard,6,NA,13.54,'General Merchandise',FALSE,FALSE,0
1.00013724209738E15,1.00013722276607002E18,1000137222893880000|1000137223125030000|1000137223736810000|1000137223994190000,checkcardasmilehoustont,4.43,13.31,0.65,Healthcare/Medical,FALSE,TRUE,0
1.00083961178575E15,1.0008396536213E16,10008396545509800|10008396560589600,chasecardmemberbtdeaprepires,1.79,0.26,355.17,'Credit Card Payments',FALSE,FALSE,1
1.00083961716152E15,1.0008396741343E16,1.00083967511949E16,bkofamericaatmdepositthepruneyardcampbellca,0.86,NA,19.25,Deposits,FALSE,FALSE,0
1.00083963105897E15,1.00083967125802E16,10008396712580200|10008396734827500|10008396734827500|10008396739705100|10008396739705100|10008396739705100|10008396842013500|10008396842013500|10008396906084800|10008396906084800|10008396906084800|10008396906084800|10008396906084800,postransactionamazonfreshmarketplawwwfreshamawaus,1.37,6.59,13.08,Groceries,FALSE,FALSE,0
1.00000041154258E15,1.00000042698742E16,10000004270860600|10000004273542600,grantstreetcleanersbirminghammi,5.64,15.52,1.88,'Home Maintenance',FALSE,FALSE,0
1.0008396150311E15,1.0008396548996E16,10008396617923100|10008396617923100,amazonmktplacepmtsamzncombillwausa,4.29,36.73,114.7,'General Merchandise',FALSE,FALSE,0
1.00000041154258E15,1.00000042688281E16,10000004270308800|10000004271594800|10000004273119900,pandorainternetradica,4.48,0.29,0.0,'Online Services',FALSE,TRUE,1
